Date,Price,Open,High,Low,Change %,GDP,Inflation,FDI,Trade Balance,Unemployment Rate,Exchange Rate,Economic Growth
10/13/2022,2308.06,2308.06,2308.06,2308.06,-0.0035,7.1,7.7,1.56,26.63,4.7,101.1,7.1
10/12/2022,2316.12,2316.12,2316.12,2316.12,0.0026,7.1,7.7,1.56,26.63,4.7,101.26,7.1
10/11/2022,2310.05,2310.05,2310.05,2310.05,-0.0018,7.1,7.7,1.56,26.63,4.7,101.4,7.1
10/10/2022,2314.13,2314.13,2314.13,2314.13,-0.0201,7.1,7.7,1.56,26.63,4.7,105.2,7.1
10/6/2022,2361.57,2361.57,2361.57,2361.57,0.0079,7.1,7.7,1.56,26.63,4.7,101.5,7.1
10/4/2022,2343.04,2343.04,2343.04,2343.04,0.0073,7.1,7.7,1.56,26.63,4.7,101.2,7.1
10/3/2022,2326.17,2326.17,2326.17,2326.17,-0.002,7.1,7.7,1.56,26.63,4.7,105.82,7.1
9/29/2022,2330.9,2330.9,2330.9,2330.9,0.0033,7.1,7.7,1.56,26.63,4.7,105.8,7.1
9/28/2022,2323.13,2323.13,2323.13,2323.13,0.0029,7.1,7.7,1.56,26.63,4.7,102.4,7.1
9/27/2022,2316.42,2316.42,2316.42,2316.42,-0.0066,7.1,7.7,1.56,26.63,4.7,101.9,7.1
9/26/2022,2331.89,2331.89,2331.89,2331.89,-0.0143,7.1,7.7,1.56,26.63,4.7,102,7.1
9/22/2022,2365.69,2365.69,2365.69,2365.69,-0.0038,7.1,7.7,1.56,26.63,4.7,101.5,7.1
9/21/2022,2374.83,2374.83,2374.83,2374.83,-0.0112,7.1,7.7,1.56,26.63,4.7,101.6,7.1
9/20/2022,2401.76,2401.76,2401.76,2401.76,-0.0018,7.1,7.7,1.56,26.63,4.7,101.26,7.1
9/19/2022,2406.11,2406.11,2406.11,2406.11,0.0255,7.1,7.7,1.56,26.63,4.7,102.9,7.1
9/15/2022,2346.35,2346.35,2346.35,2346.35,0.0056,7.1,7.7,1.56,26.63,4.7,101.6,7.1
9/14/2022,2333.24,2333.24,2333.24,2333.24,-0.0086,7.1,7.7,1.56,26.63,4.7,101.5,7.1
9/13/2022,2353.51,2353.51,2353.51,2353.51,-0.0013,7.1,7.7,1.56,26.63,4.7,101.1,7.1
9/12/2022,2356.63,2356.63,2356.63,2356.63,-0.0082,7.1,7.7,1.56,26.63,4.7,101.2,7.1
9/8/2022,2376.17,2376.17,2376.17,2376.17,0.0096,7.1,7.7,1.56,26.63,4.7,102.3,7.1
9/7/2022,2353.58,2353.58,2353.58,2353.58,0.0204,7.1,7.7,1.56,26.63,4.7,100.82,7.1
9/6/2022,2306.46,2306.46,2306.46,2306.46,0.009,7.1,7.7,1.56,26.63,4.7,102.6,7.1
9/5/2022,2285.8,2285.8,2285.8,2285.8,-0.0086,7.1,7.7,1.56,26.63,4.7,102.6,7.1
9/1/2022,2305.66,2305.66,2305.66,2305.66,0.0099,7.1,7.7,1.56,26.63,4.7,102.7,7.1
8/31/2022,2283.06,2283.06,2283.06,2283.06,0.0016,7.1,7.7,1.56,26.63,4.7,103.2,7.1
8/30/2022,2279.33,2279.33,2279.33,2279.33,0.0017,7.1,7.7,1.56,26.63,4.7,103.3,7.1
8/29/2022,2275.36,2275.36,2275.36,2275.36,0.0035,7.1,7.7,1.56,26.63,4.7,103.8,7.1
8/25/2022,2267.35,2267.35,2267.35,2267.35,0.0105,7.1,7.7,1.56,26.63,4.7,103.8,7.1
8/24/2022,2243.69,2243.69,2243.69,2243.69,-0.0096,7.1,7.7,1.56,26.63,4.7,103.9,7.1
8/23/2022,2265.36,2265.36,2265.36,2265.36,0.008,7.1,7.7,1.56,26.63,4.7,103.95,7.1
8/22/2022,2247.34,2247.34,2247.34,2247.34,0.0123,7.1,7.7,1.56,26.63,4.7,102.4,7.1
8/17/2022,2220.05,2220.05,2220.05,2220.05,0.0032,7.1,7.7,1.56,26.63,4.7,94.91,7.1
8/16/2022,2213.03,2213.03,2213.03,2213.03,0.0085,7.1,7.7,1.56,26.63,4.7,94.91,7.1
8/11/2022,2194.39,2194.39,2194.39,2194.39,-0.0075,7.1,7.7,1.56,26.63,4.7,95,7.1
8/10/2022,2210.96,2210.96,2210.96,2210.96,-0.0119,7.1,7.7,1.56,26.63,4.7,95,7.1
8/8/2022,2237.6,2237.6,2237.6,2237.6,-0.0122,7.1,7.7,1.56,26.63,4.7,94.91,7.1
8/4/2022,2265.2,2265.2,2265.2,2265.2,0.0028,7.1,7.7,1.56,26.63,4.7,94.91,7.1
8/3/2022,2258.83,2258.83,2258.83,2258.83,0.011,7.1,7.7,1.56,26.63,4.7,94.82,7.1
8/2/2022,2234.21,2234.21,2234.21,2234.21,0.0136,7.1,7.7,1.56,26.63,4.7,94.91,7.1
8/1/2022,2204.19,2204.19,2204.19,2204.19,0.0275,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/28/2022,2145.25,2145.25,2145.25,2145.25,-0.0081,7.1,7.7,1.56,26.63,4.7,95,7.1
7/27/2022,2162.85,2162.85,2162.85,2162.85,-0.0124,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/26/2022,2190.02,2190.02,2190.02,2190.02,0.0059,7.1,7.7,1.56,26.63,4.7,94.73,7.1
7/25/2022,2177.2,2177.2,2177.2,2177.2,-0.0107,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/21/2022,2200.83,2200.83,2200.83,2200.83,-0.0024,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/20/2022,2206.08,2206.08,2206.08,2206.08,-0.0032,7.1,7.7,1.56,26.63,4.7,94.89,7.1
7/19/2022,2213.24,2213.24,2213.24,2213.24,-0.0101,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/18/2022,2235.83,2235.83,2235.83,2235.83,-0.0167,7.1,7.7,1.56,26.63,4.7,94.94,7.1
7/14/2022,2273.85,2273.85,2273.85,2273.85,0.0004,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/13/2022,2272.96,2272.96,2272.96,2272.96,-0.0049,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/12/2022,2284.14,2284.14,2284.14,2284.14,-0.0042,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/7/2022,2293.76,2295.22,2304.65,2293.24,-0.0027,7.1,7.7,1.56,26.63,4.7,94.82,7.1
7/6/2022,2299.86,2306.76,2316.33,2298.94,-0.0009,7.1,7.7,1.56,26.63,4.7,94.91,7.1
7/5/2022,2301.91,2288.68,2307.03,2288.68,0.0079,7.1,7.7,1.56,26.63,4.7,94.95,7.1
7/4/2022,2283.95,2282.84,2291.47,2281.77,-0.0032,7.1,7.7,1.56,26.63,4.7,94.61,7.1
7/3/2022,2291.21,2292.64,2293.58,2280.3,-0.0019,7.1,7.7,1.56,26.63,4.7,94.7,7.1
6/30/2022,2295.58,2293.66,2298.12,2286.94,0.0002,7.1,7.7,1.56,26.63,4.7,94.44,7.1
6/29/2022,2295.18,2298.11,2303.6,2292.77,0.0003,7.1,7.7,1.56,26.63,4.7,94.53,7.1
6/28/2022,2294.58,2288.18,2298.96,2288.18,0.0041,7.1,7.7,1.56,26.63,4.7,94.7,7.1
6/27/2022,2285.21,2283.73,2291.8,2281.15,-0.0006,7.1,7.7,1.56,26.63,4.7,94.7,7.1
6/26/2022,2286.6,2290.84,2292.36,2285.24,-0.0052,7.1,7.7,1.56,26.63,4.7,94.61,7.1
6/23/2022,2298.6,2297.18,2311.56,2292.62,0.002,7.1,7.7,1.56,26.63,4.7,94.44,7.1
6/22/2022,2293.95,2299.54,2300.46,2285.53,-0.0006,7.1,7.7,1.56,26.63,4.7,94.53,7.1
6/21/2022,2295.41,2316.38,2316.38,2294.34,-0.0083,7.1,7.7,1.56,26.63,4.7,94.61,7.1
6/20/2022,2314.57,2334.98,2335.08,2308.85,-0.005,7.1,7.7,1.56,26.63,4.7,94.7,7.1
6/19/2022,2326.19,2336.92,2341.75,2322.91,-0.0008,7.1,7.7,1.56,26.63,4.7,94.22,7.1
6/16/2022,2327.94,2315.68,2330.58,2308.17,0.0113,7.1,7.7,1.56,26.63,4.7,94.31,7.1
6/15/2022,2301.91,2303.82,2318.87,2301.3,0.0004,7.1,7.7,1.56,26.63,4.7,94.4,7.1
6/14/2022,2300.91,2322.72,2325.48,2299.58,-0.0069,7.1,7.7,1.56,26.63,4.7,93.95,7.1
6/13/2022,2316.97,2332.36,2336.74,2316.97,-0.0076,7.1,7.7,1.56,26.63,4.7,93.95,7.1
6/12/2022,2334.64,2353.29,2353.29,2329.59,-0.0075,7.1,7.7,1.56,26.63,4.7,93.63,7.1
6/9/2022,2352.38,2356.59,2365.77,2350.24,-0.0005,7.1,7.7,1.56,26.63,4.7,93.9,7.1
6/8/2022,2353.64,2351.45,2361.33,2350.04,0.0012,7.1,7.7,1.56,26.63,4.7,93.81,7.1
6/7/2022,2350.76,2365.27,2365.27,2347.83,-0.0045,7.1,7.7,1.56,26.63,4.7,93.4,7.1
